id,game_id,seat_id
0,0,0
1,0,1
2,0,2
3,0,3
4,0,4
5,0,5
6,0,6
7,0,7
8,0,8
9,0,9
10,0,10
11,0,11
12,0,12
13,0,13
14,0,14
15,0,15
16,0,16
17,0,17
18,0,18
19,0,19
20,0,20
21,0,21
22,0,22
23,0,23
24,0,24
25,0,25
26,0,26
27,0,27
28,0,28
29,0,29
30,1,0
31,1,1
32,1,2
33,1,3
34,1,4
35,1,5
36,1,6
37,1,7
38,1,8
39,1,9
40,1,10
41,1,11
42,1,12
43,1,13
44,1,14
45,1,15
46,1,16
47,1,17
48,1,18
49,1,19
50,1,20
51,1,21
52,1,22
53,1,23
54,1,24
55,1,25
56,1,26
57,1,27
58,1,28
59,1,29
60,2,30
61,2,31
62,2,32
63,2,33
64,2,34
65,2,35
66,2,36
67,2,37
68,2,38
69,2,39
70,2,40
71,2,41
72,2,42
73,2,43
74,2,44
75,2,45
76,2,46
77,2,47
78,2,48
79,2,49
80,2,50
81,2,51
82,2,52
83,2,53
84,2,54
85,2,55
86,2,56
87,2,57
88,2,58
89,2,59
90,3,60
91,3,61
92,3,62
93,3,63
94,3,64
95,3,65
96,3,66
97,3,67
98,3,68
99,3,69
100,3,70
101,3,71
102,3,72
103,3,73
104,3,74
105,3,75
106,3,76
107,3,77
108,3,78
109,3,79
110,3,80
111,3,81
112,3,82
113,3,83
114,3,84
115,3,85
116,3,86
117,3,87
118,3,88
119,3,89
120,4,90
121,4,91
122,4,92
123,4,93
124,4,94
125,4,95
126,4,96
127,4,97
128,4,98
129,4,99
130,4,100
131,4,101
132,4,102
133,4,103
134,4,104
135,4,105
136,4,106
137,4,107
138,4,108
139,4,109
140,4,110
141,4,111
142,4,112
143,4,113
144,4,114
145,4,115
146,4,116
147,4,117
148,4,118
149,4,119
150,5,30
151,5,31
152,5,32
153,5,33
154,5,34
155,5,35
156,5,36
157,5,37
158,5,38
159,5,39
160,5,40
161,5,41
162,5,42
163,5,43
164,5,44
165,5,45
166,5,46
167,5,47
168,5,48
169,5,49
170,5,50
171,5,51
172,5,52
173,5,53
174,5,54
175,5,55
176,5,56
177,5,57
178,5,58
179,5,59